A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
19560;53;5310;13;19560-1;1;58;1966-03-03;99999;99999;2;2;99999;5;99999;1;1;19560-2;2;1;99999;2;1;19560-2;2;2;2;4;4;4;76;21;76210560;99999;99999;25;25;99999;99999;7653;5310;1;2;99999;1;0;0;1;1;2;1;2;2;1;1;4;10;2;1;3;23;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;8;2;4;2;2;1;1412;1426,735747;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;600;606,261649;0;0;88888;2012;2032,997396;0,989671705;1;2;2;2;80,86083051
9574;53;5310;13;09574-1;1;32;1991-08-24;99999;99999;2;2;99999;5;99999;1;1;09574-2;1;1;99999;1;1;09574-2;1;4;3;4;4;4;76;24;76240810;99999;99999;6;3;7653;765303;7653;765301;99999;1;7653;1;1;0;1;1;1;1;1;2;2;99999;99999;99999;1;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;1;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;2;0;0;0,993036589;1;2;2;7;216,1407834
22504;53;5310;13;22504-1;1;64;1960-03-17;99999;99999;1;1;99999;5;99999;1;1;22504-2;1;4;99999;2;1;22504-2;1;4;4;4;4;4;76;33;76330350;99999;99999;44;24;7653;99999;7653;5310;6;2;99999;1;0;1;0;1;1;1;2;2;1;1;1;10;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;2;2;2;2;2;99999;99999;2;99999;99999;1;5;0;40;1;58;1;2;2;2;2;2;2;99999;1;99999;7;99999;2;2;99999;2;5000;5052,180408;0;0;99999;99999;88888;99999;88888;99999;99999;0,989671705;1;2;2;6;125,4398611
8106;53;5310;13;08106-1;1;67;1956-10-21;99999;99999;1;1;99999;5;99999;1;1;08106-2;1;1;99999;2;1;08106-2;1;4;4;4;4;4;76;31;76312320;99999;99999;8;6;7653;765320;7653;5310;1;2;99999;1;0;0;1;88888;99999;99999;99999;99999;1;1;4;1;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;4;2;2;1;3200;3222,439168;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;99999;0;0;88888;3200;3222,439168;0,993036589;1;2;2;2;85,37355279
1296;53;5310;13;01296-3;3;7;99999;99999;7;1;99999;99999;99999;99999;4;99999;99999;1;1;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5310;99999;99999;99999;0;0;0;0;88888;99999;99999;99999;99999;1;2;4;0;2;99999;99999;99999;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,974884044;99999;99999;99999;8;107,6755824
8959;53;5310;13;08959-3;3;41;99999;99999;41;2;2;99999;5;99999;8;99999;99999;1;2;99999;2;1;08959-2;1;4;4;4;4;4;76;33;76330045;99999;99999;4;4;7633;76330045;7653;5310;1;2;99999;1;0;0;1;1;1;1;1;2;1;4;2;1;1;1;2;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;4;2;2;2;99999;99999;2;99999;99999;1;1;0;40;1;0;2;2;2;2;2;2;1;99999;7;1;3;99999;99999;99999;1;1;2000;2044,140545;88888;99999;99999;99999;0;0;0;99999;99999;0,978406306;1;2;2;7;129,0701876
8881;53;5310;13;08881-3;3;51;1972-06-27;99999;99999;2;2;99999;5;99999;16;99999;99999;4;1;99999;1;3;99999;2;4;4;4;4;4;76;22;76220880;99999;99999;35;30;7653;99999;7653;5310;2;2;99999;1;0;1;0;1;2;1;1;2;1;1;1;10;1;1;1;42;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;1;30;0;30;1;10;2;2;2;2;2;2;1;99999;7;1;4;99999;99999;99999;1;1;1400;1414,610514;0;0;99999;99999;88888;99999;20;99999;99999;0,989671705;1;2;2;8;97,79096519
10641;53;5310;13;10641-2;2;74;99999;99999;74;2;2;99999;5;99999;8;99999;99999;1;5;99999;4;2;99999;1;4;4;4;4;4;76;52;88888;99999;99999;60;36;7653;99999;7653;5310;6;2;99999;1;0;0;1;1;2;1;2;2;1;2;4;1;1;1;3;30;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;1;88888;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;99999;99999;0;0;6;99999;99999;0,974884044;1;2;2;7;109,4298613
15214;53;5310;13;15214-2;2;40;99999;99999;40;2;2;99999;5;99999;2;99999;99999;4;1;99999;2;1;15214-1;2;4;4;4;4;4;76;29;76290690;99999;99999;13;4;7653;765314;7653;5310;2;2;99999;1;0;1;0;1;2;1;1;2;1;2;4;1;2;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;13;1;99999;1;1;2;99999;99999;2;99999;99999;1;13;0;44;1;1;1;2;2;2;2;2;2;99999;1;4;4;99999;99999;99999;1;1;1800;1839,726491;88888;99999;99999;99999;0;0;0;99999;99999;0,978406306;1;2;2;5;129,0701876
21722;53;5310;13;21722-3;3;17;2006-06-16;99999;99999;2;99999;99999;99999;99999;12;99999;99999;4;2;99999;1;3;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5310;99999;2;99999;1;0;0;1;1;1;1;1;2;2;99999;99999;99999;1;2;99999;99999;1;1;99999;2;1;1;1;1;2;2;2;2;2;2;2;2;99999;1;2;6;2;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;10;0;0;0,989671705;99999;99999;99999;4;161,4585505
